business_id,name,address,city,state,postal,lat,lon,categories,opening_hours,0star,1star,2star,3star,4star,5star,totalreview,negative_count,neutral_count,positive_count,sentiment_score,avg_star_rating
--zb12mw2YK-7j6UaHzm8w,Billy Wright's Manuel's Style Hot Tamales,Robert E. Lee & Canal Blvd,New Orleans,LA,70124,30.0194903,-90.1064893,"Food, Street Vendors","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",0,1,0,0,1,8,10,1,0,9,0.8,4.5
-09Oc2D14vRnmirPh0vlXw,Cracker Barrel Old Country Store,110 Hancock Ln,Mount Holly,NJ,08060,40.02844,-74.81503,"Diners, Shopping, Caterers, Restaurants, Comfort Food, Salad, Event Planning & Services, Desserts, Southern, Breakfast & Brunch, American (Traditional), Food","{'Monday': '0:0-0:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '7:0-21:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-20:0', 'Sunday': '8:0-20:0'}",0,32,10,15,13,19,89,42,15,32,-0.112,2.74
-0TffRSXXIlBYVbb5AwfTg,IndeBlue Modern Indian Food & Spirits,205 South 13th St,Philadelphia,PA,19107,39.9485078263,-75.1619688173,"Cocktail Bars, Food Delivery Services, Nightlife, Breakfast & Brunch, Food, Bars, Event Planning & Services, Caterers, Restaurants, Indian","{'Monday': '0:0-0:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-23:0', 'Saturday': '16:0-23:0', 'Sunday': '16:0-22:0'}",0,17,23,35,127,429,631,40,35,556,0.818,4.47
-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,10150A 82 Ave,Edmonton,AB,T6E 1Z4,53.518487,-113.493183,"Food, Ice Cream & Frozen Yogurt, Bakeries","{'Monday': '15:0-21:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '15:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",0,1,4,3,17,40,65,5,3,57,0.8,4.4
-0epFLgYq2C1Jo_W4FOBKw,Our House Cafe,125 N Rapp Ave,Columbia,IL,62236,38.4426214,-90.2015562,"Breakfast & Brunch, Sandwiches, Cafes, Food, American (New), Coffee & Tea, Restaurants","{'Monday': '6:0-16:0', 'Tuesday': '6:0-16:0', 'Wednesday': '6:0-20:0', 'Thursday': '6:0-16:0', 'Friday': '6:0-16:0', 'Saturday': '7:0-16:0', 'Sunday': '8:0-14:0'}",0,1,0,1,3,5,10,1,1,8,0.7,4.1
-0fvhILrC9UsQ6gLNpZlTQ,David's Southern Fried Pies,8601 Frankford Ave,Philadelphia,PA,19136,40.046191,-75.0150899,"Desserts, Food","{'Monday': '0:0-0:0', 'Tuesday': '12:0-19:0', 'Wednesday': '12:0-19:0', 'Thursday': '8:0-12:0', 'Friday': '11:0-19:0', 'Saturday': '11:0-19:0', 'Sunday': '11:0-19:0'}",0,0,0,1,2,12,15,0,1,14,0.933,4.73
-0gRYq5UjMtZbELj0KHxzA,La Colombe Coffee,"915 Lancaster Ave, Ste 160",Bryn Mawr,PA,19010,40.0234082,-75.3209474,"Food, Coffee & Tea","{'Monday': '0:0-0:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '7:0-18:0'}",0,11,13,16,22,32,94,24,16,54,0.319,3.54
-0iIxySkp97WNlwK66OGWg,Truckee Bagel Company - Midtown,"538 S Virginia St, Ste B",Reno,NV,89501,39.5202401,-119.810022,"Caterers, Sandwiches, Coffee & Tea, Bagels, Food, Event Planning & Services, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '6:45-14:30', 'Wednesday': '6:45-14:30', 'Thursday': '6:45-14:30', 'Friday': '6:45-15:30', 'Saturday': '6:45-15:30', 'Sunday': '6:45-15:30'}",0,22,15,22,28,86,173,37,22,114,0.445,3.82
-0jK77zdE3-plqXuwXtilQ,Salerno's III,1292 Lower Ferry Rd,Ewing Township,NJ,08628,40.2717529,-74.7908719,"Italian, Seafood, Restaurants, Pizza, Sandwiches","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '12:0-21:30'}",0,10,4,4,9,30,57,14,4,39,0.439,3.79
-0m4IwD1FIOqkA8dh4mVfQ,Chipotle Mexican Grill,715 Team Blvd,Smyrna,TN,37167,35.9794487,-86.5643229,"Mexican, Fast Food, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '10:45-22:0', 'Wednesday': '10:45-22:0', 'Thursday': '10:45-22:0', 'Friday': '10:45-22:0', 'Saturday': '10:45-22:0', 'Sunday': '10:45-22:0'}",0,20,3,4,2,3,32,23,4,5,-0.563,1.91
-1PG6k_iezwJmRZLB7f6og,The Lemon Bar,95 E Pine St,Zionsville,IN,46077,39.950009684,-86.2605157757,"Food, Cocktail Bars, American (New), Restaurants, Bars, Nightlife, Desserts","{'Wednesday': '10:0-15:0', 'Thursday': '10:0-15:0', 'Friday': '10:0-15:0', 'Saturday': '9:0-15:0', 'Sunday': '9:0-15:0'}",0,12,12,18,23,43,108,24,18,66,0.389,3.68
-1XSzguS6XLN-V6MVZMg2A,Restaurant Rebirth,857 Fulton St,New Orleans,LA,70130,29.9435371,-90.0653721,"Cajun/Creole, Soup, Seafood, Restaurants, Steakhouses, Southern","{'Monday': '0:0-0:0', 'Tuesday': '17:30-21:0', 'Wednesday': '17:30-21:0', 'Thursday': '17:30-21:0', 'Friday': '17:30-21:30', 'Saturday': '17:30-21:30'}",0,4,11,15,50,280,360,15,15,330,0.875,4.64
-1YvpVvnnLrTZ0zjtUYPXA,Mr Crab,1507 S Virginia St,Reno,NV,89502,39.5093382345,-119.8057665,"Cajun/Creole, Restaurants, Seafood","{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",0,8,8,7,10,41,74,16,7,51,0.473,3.92
-1b7CQbbl_3uotcTsxhHsw,Moody's Butcher Shop,"11145 N Michigan Rd, Ste 150",Zionsville,IN,46077,39.9477711,-86.2390659,"Specialty Food, Meat Shops, Food, Butcher","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-16:0'}",0,0,0,1,2,1,4,0,1,3,0.75,4.0
-1iLbEf1NwY-OJp5Hg-3Sg,Chuy's Mesquite Broiler - Valencia,"1645 W Valencia Rd, Ste 111",Tucson,AZ,85746,32.1323401,-111.0000115,"Restaurants, Fast Food, American (New), Mexican, Tex-Mex","{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-23:30', 'Saturday': '10:0-23:30', 'Sunday': '10:0-22:0'}",0,3,0,1,2,4,10,3,1,6,0.3,3.4
-1m7-ZxGRVRdKa4tFB4eDg,Smoothie King,4475 Forest Park Ave,St. Louis,MO,63108,38.638607,-90.2583,"Specialty Food, Health Markets, Food, Juice Bars & Smoothies","{'Monday': '0:0-0:0', 'Tuesday': '7:0-21:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-18:0'}",0,2,1,0,1,3,7,3,0,4,0.143,3.29
-1owBLC2h6DF5n_j77oq3g,Hardee's,101 Lineberry Blvd,Mount Juliet,TN,37122,36.2314256711,-86.5106030647,"Breakfast & Brunch, Restaurants, Burgers, Chicken Wings, Fast Food","{'Monday': '5:0-21:0', 'Tuesday': '5:0-21:0', 'Wednesday': '5:0-21:0', 'Thursday': '5:0-21:0', 'Friday': '5:0-21:0', 'Saturday': '5:0-21:0', 'Sunday': '6:0-21:0'}",0,4,2,0,0,0,6,6,0,0,-1.0,1.33
-1oygVebK81K8JEPI6H6Lw,Bruegger's Bagels,501 E Kennedy Blvd,Tampa,FL,33602,27.9477318699,-82.4558486,"Restaurants, Breakfast & Brunch, Bagels, Sandwiches, Food","{'Monday': '6:30-12:0', 'Tuesday': '6:30-12:0', 'Wednesday': '6:30-12:0', 'Thursday': '6:30-12:0', 'Friday': '6:30-12:0'}",0,5,3,4,14,25,51,8,4,39,0.608,4.0
-1q9ktAQXpgFSNrst7tzag,Spice Box,222 E Market St,Indianapolis,IN,46204,39.7686835,-86.153515,"Street Vendors, Indian, Fast Food, Vegan, Restaurants, Food, Food Trucks","{'Monday': '11:0-14:0', 'Tuesday': '11:0-14:0', 'Wednesday': '11:0-14:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-14:0'}",0,2,4,1,15,8,30,6,1,23,0.567,3.77
-1zRvh3yjKAa2eYggRKbuw,CVS Pharmacy,1695 Robb Dr,Reno,NV,89523,39.529,-119.8828,"Pharmacy, Shopping, Drugstores, Food, Convenience Stores, Health & Medical","{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '8:0-22:0', 'Sunday': '8:0-22:0'}",0,31,5,0,1,7,44,36,0,8,-0.636,1.82
-2BDt9OdGiBONysWCdKgNg,Dunkin',5302 E Busch Blvd,Temple Terrace,FL,33617,28.0329259048,-82.3966472,"Restaurants, Coffee & Tea, Food, Donuts","{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '5:0-22:0'}",0,3,5,0,1,2,11,8,0,3,-0.455,2.45
-2CPhK6ik9ZBgFX_F-dkxQ,Subway,"14961 N Florida Ave, Ste 14961",Tampa,FL,33613,28.0870290393,-82.4583099247,"Sandwiches, Fast Food, Restaurants","{'Monday': '0:0-0:0', 'Tuesday': '8:0-21:30', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:30', 'Friday': '8:0-16:0', 'Saturday': '9:0-21:0', 'Sunday': '10:0-20:0'}",0,3,0,0,1,0,4,3,0,1,-0.5,1.75
-2Rr5lt1yC5o-Lo3SAIFNQ,Shafi Tandoori Grill & Bakery,3444 93 Street NW,Edmonton,AB,T6E 6A4,53.4671923,-113.4746134,"Imported Food, Specialty Food, Ethnic Food, Food","{'Monday': '11:0-21:0', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:0'}",0,2,0,0,1,1,4,2,0,2,0.0,2.75
-2VYztMXVorktljCdQNPmQ,Mumbai Grill,"916 E Main St, Ste 203",Greenwood,IN,46143,39.6159838211,-86.0848239933,"Restaurants, Food, Indian, Pakistani, Butcher, Halal","{'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}",0,9,6,5,18,56,94,15,5,74,0.628,4.13
-2WAq2pOLnc4__lPy6kvoQ,Oh My Chives Natural Market,"7332 Nolensville Rd, Ste 304",Nolensville,TN,37135,35.9509262,-86.6680733,"Food, Restaurants, Health Markets, Sandwiches, Specialty Food, Organic Stores","{'Monday': '7:0-17:0', 'Tuesday': '7:0-17:0', 'Wednesday': '7:0-17:0', 'Thursday': '7:0-17:0', 'Friday': '7:0-17:0', 'Saturday': '7:0-15:0'}",0,0,0,1,0,11,12,0,1,11,0.917,4.83
-2n5fuaYO2TeuMR0Ey6Zmw,Croûte Baking Company,"320 N Meridian St, Ste 101",Indianapolis,IN,46204,39.7718951,-86.1582852,"Food, Bakeries","{'Monday': '0:0-0:0', 'Tuesday': '7:0-14:0', 'Wednesday': '7:0-14:0', 'Thursday': '7:0-14:0', 'Friday': '7:0-14:0'}",0,1,1,1,1,9,13,2,1,10,0.615,4.23
-2oyyfOSHs1UElr3Dc1aKQ,Highlands Kitchen,6509 112th Avenue,Edmonton,AB,T5W 4K3,53.5646777,-113.4381547,"Ukrainian, Restaurants, Canadian (New), Comfort Food","{'Monday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}",0,0,0,0,1,1,2,0,0,2,1.0,4.5
-2vEnMoexef2-rWy-FMWvw,Wings and Seafood,5623 W 38th St,Indianapolis,IN,46224,39.8236840235,-86.259820126,"Chicken Wings, Restaurants, Seafood, Burgers, American (Traditional)","{'Monday': '11:0-22:30', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-23:30', 'Saturday': '11:0-23:30', 'Sunday': '12:0-22:30'}",0,2,1,3,6,15,27,3,3,21,0.667,4.15
-2wh7NTLkWEgsrLJvilnFQ,Istanbul Mediterranean Grill & Market,8896 N Florida Ave,Tampa,FL,33604,28.0307947,-82.4598534,"Grocery, Food, Halal, Turkish, Seafood, Sandwiches, Restaurants, Mediterranean","{'Monday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",0,4,1,3,3,53,64,5,3,56,0.797,4.56
-3-6BB10tIWNKGEF0Es2BA,The 81 Hong Kong Cafe,"625 E Wetmore Rd, Ste 109",Tucson,AZ,85705,32.2885403,-110.9631443,"Coffee & Tea, Asian Fusion, Food, Bubble Tea, Hong Kong Style Cafe, Taiwanese, Restaurants, Chinese","{'Monday': '0:0-0:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",0,5,3,8,14,61,91,8,8,75,0.736,4.35
-34c4hcDPIInTROr8Xtxtw,Gelato-Go Tampa,"1208 E Kennedy Blvd, Ste 115",Tampa,FL,33602,27.9511965,-82.4467554,"Ice Cream & Frozen Yogurt, Coffee & Tea, Gelato, Caterers, Juice Bars & Smoothies, Desserts, Food, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",0,0,1,0,2,20,23,1,0,22,0.913,4.78
-3GcUoawZjkX1Zq7zJhe_A,Spirits Warehouse,415 S Evergreen Ave,Woodbury,NJ,08096,39.8286392,-75.1490884,"Food, Beer, Wine & Spirits","{'Monday': '9:0-22:0', 'Tuesday': '9:0-22:0', 'Wednesday': '9:0-22:0', 'Thursday': '9:0-22:0', 'Friday': '9:0-22:0', 'Saturday': '9:0-22:0', 'Sunday': '11:0-18:0'}",0,2,0,0,0,3,5,2,0,3,0.2,3.4
-3Xl8nSBSjaPpftsSNyrgg,Taco Bell,324 Harding Place,Nashville,TN,37211,36.087301,-86.693912,"Restaurants, Tex-Mex, Tacos, Fast Food, Mexican, Breakfast & Brunch","{'Monday': '7:0-0:0', 'Tuesday': '7:0-0:0', 'Wednesday': '7:0-0:0', 'Thursday': '7:0-0:0', 'Friday': '7:0-1:0', 'Saturday': '7:0-1:0', 'Sunday': '7:0-0:0'}",0,1,0,0,0,5,6,1,0,5,0.667,4.33
-3dkEoYgH8AlUtBMZvzUfg,Dunkin',6190 N. US Highway 41,Apollo Beach,FL,33572,27.7685912,-82.3927929,"Food, Coffee & Tea, Donuts","{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-22:0', 'Saturday': '5:0-22:0', 'Sunday': '5:0-22:0'}",0,4,1,4,6,1,16,5,4,7,0.125,2.94
-3vApQP60bigh7FGBZCQng,Rice's Country Ham Store,12217 Lebanon Rd,Mount Juliet,TN,37122,36.2306546,-86.531019,"Specialty Food, Grocery, Butcher, Meat Shops, Food","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0'}",0,1,0,0,0,3,4,1,0,3,0.5,4.0
-3xX_IfttKjPJ792BOBJ-Q,L&L Hawaiian Barbecue,"5150 Mae Anne Ave, Ste 204",Reno,NV,89523,39.5314266,-119.8662793,"Restaurants, American (New), Fast Food, Seafood, Barbeque, Hawaiian","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",0,46,22,13,35,55,171,68,13,90,0.129,3.18
-40qQXB8JsneSiDqXMjoeg,Grill Fish Café,814 S 47th St,Philadelphia,PA,19143,39.9482317,-75.2169427,"Asian Fusion, Vietnamese, Seafood, Restaurants","{'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-22:0', 'Saturday': '17:0-22:0', 'Sunday': '17:0-22:0'}",0,1,0,1,2,3,7,1,1,5,0.571,3.86
-4E0hSCldRJZLI-1cT38Sw,Smoothie King,599 Sam Ridley Pkwy Ste 105,Smyrna,TN,37167,35.97815,-86.561966,"Food, Gluten-Free, Health & Medical, Specialty Food, American (Traditional), Active Life, Restaurants, Health Markets, Juice Bars & Smoothies","{'Monday': '9:0-21:0', 'Tuesday': '8:0-19:0', 'Wednesday': '7:0-19:0', 'Thursday': '7:0-19:0', 'Friday': '7:0-19:0', 'Saturday': '9:0-20:0', 'Sunday': '11:0-18:0'}",0,2,3,2,1,3,11,5,2,4,-0.091,3.0
-4HTX6yWNuRJusCTezaUnQ,Ice Cream's Delicious Turkey Legs & BBQ,5112 N 22nd St,Tampa,FL,33610,27.9936807,-82.4353526,"Barbeque, Food Trucks, Restaurants, Food","{'Wednesday': '12:30-18:0', 'Thursday': '12:30-18:0', 'Friday': '12:30-18:0', 'Saturday': '12:30-18:0', 'Sunday': '12:30-18:0'}",0,0,0,0,1,4,5,0,0,5,1.0,4.8
-4UMCvj8E1PYseKhNfdoug,Candy Nation,"496 Lower Fricks Lock Rd, Ste 200",Pottstown,PA,19465,40.222437,-75.598417,"Candy Stores, Food, Specialty Food","{'Monday': '9:0-15:30', 'Tuesday': '9:0-15:30', 'Wednesday': '9:0-15:30', 'Thursday': '9:0-15:30', 'Friday': '9:0-15:30'}",0,5,1,0,0,17,23,6,0,17,0.478,4.0
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,PA,19146,39.9404026,-75.1932966,"Food, Grocery","{'Monday': '6:0-1:0', 'Tuesday': '6:0-1:0', 'Wednesday': '6:0-1:0', 'Thursday': '6:0-1:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '6:0-1:0'}",0,4,4,4,3,2,17,8,4,5,-0.176,2.71
-4gHyiiX6NKNqQ0DO8QhwQ,Sub Zero Nitrogen Ice Cream,2216 66th St N,Saint Petersburg,FL,33710,27.7916916,-82.7287924,"Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt","{'Monday': '0:0-0:0', 'Tuesday': '13:0-22:0', 'Wednesday': '13:0-22:0', 'Thursday': '13:0-22:0', 'Friday': '13:0-22:0', 'Saturday': '17:0-23:0', 'Sunday': '12:0-22:0'}",0,1,1,0,5,29,36,2,0,34,0.889,4.67
-4jxTEaNONDDsC0Xzzp1UQ,Roasted Tea and Coffee Shop,"33 N Stone Ave, Ste 150",Tucson,AZ,85701,32.2226487272,-110.9722155688,"Restaurants, Coffee Roasteries, Bubble Tea, Cafes, Food, Coffee & Tea","{'Monday': '7:0-15:0', 'Tuesday': '7:0-15:0', 'Wednesday': '7:0-15:0', 'Thursday': '7:0-15:0', 'Friday': '7:0-15:0'}",0,0,1,1,6,9,17,1,1,15,0.824,4.35
-4mDMBfT6N0d-VIUTKVaLg,Heidelberg Haus,7625 Pendleton Pike,Indianapolis,IN,46226,39.8337365871,-86.0317048595,"German, Food, Local Flavor, Grocery, Shopping, Flowers & Gifts, Restaurants, Gift Shops, Bakeries","{'Monday': '8:30-19:0', 'Tuesday': '8:30-19:0', 'Wednesday': '8:30-19:0', 'Thursday': '8:30-19:0', 'Friday': '8:30-19:0', 'Saturday': '8:30-17:0', 'Sunday': '11:0-17:0'}",0,5,1,8,32,99,145,6,8,131,0.862,4.51
-4qgeqxb2hKe3dUUH__j8Q,T&T Supermarket,8882 170th Street,Edmonton,AB,T5T 4M2,53.5235271995,-113.6239112789,"Ethnic Food, Imported Food, International Grocery, Chinese, Grocery, Food, Restaurants, Specialty Food","{'Monday': '9:0-21:30', 'Tuesday': '9:0-21:30', 'Wednesday': '9:0-21:30', 'Thursday': '9:0-21:30', 'Friday': '9:0-21:30', 'Saturday': '9:0-21:30', 'Sunday': '9:0-21:0'}",0,2,2,3,6,5,18,4,3,11,0.389,3.56
-4wykApCGL78JzWYICOQzw,Hardee's,10909 Saint Charles Rock Rd,Bridgeton,MO,63074,38.7349271,-90.3935195914,"Restaurants, Fast Food, Burgers","{'Monday': '5:0-22:0', 'Tuesday': '5:0-22:0', 'Wednesday': '5:0-22:0', 'Thursday': '5:0-22:0', 'Friday': '5:0-23:0', 'Saturday': '5:0-23:0', 'Sunday': '6:0-22:0'}",0,5,1,1,0,0,7,6,1,0,-0.857,1.43
-5SVdM5aY3rjGsQuiFAYjQ,Fritz's Frozen Custard,1055 Saint Catherine St,Florissant,MO,63031,38.7902287,-90.322486,"Food, Ice Cream & Frozen Yogurt, Desserts","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}",0,2,0,2,7,19,30,2,2,26,0.8,4.37
-5UQGwUZWUhPi5pJlcwEYA,Ocean World,1206 W 86th St,Indianapolis,IN,46260,39.913012,-86.180881,"Seafood, Restaurants, Sushi Bars, Japanese","{'Monday': '0:0-0:0', 'Tuesday': '17:0-21:0', 'Wednesday': '17:0-21:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-21:30', 'Saturday': '17:0-21:30', 'Sunday': '16:30-21:0'}",0,14,12,16,55,61,158,26,16,116,0.57,3.87
